name,reg,lamb,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant,celoss,wd,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
resnet56,3,0.5,0.1,0.0409917452167651,0.1464400142431259,0.3187555968761444,0.8987999999982024,0.9963999999980072,0.4280350506305694,0.1974320262670517,0.3207373917102813,0.1000000014901161,0.0015189461410045,0,0.0005,42318077_3,True,cifar10_resnet56,0.4280350506305694,0.31278195977211,0.0313221365213394,0.1464399695396423,0.5,0.0408923716079872,0,0.3187555968761444,0.8987999999982024,0.9963999999980072,0.3207373917102813,0.0204891934990882,0.0204922370612621,0.0005838759243488,0.2184517830610275,0.5,0.020492745138895,0,0.3351286053657532,0.9399333333331246,0.9997777777775556,0.0049964473582804
resnet56,0,0.0,0.1,0.0287520524901932,0.4269142746925354,0.509527862071991,0.9381999999981236,0.9963999999980072,0.7686863541603088,0.1334120333194732,0.1621805876493454,0.1000000014901161,0.000774011015892,0,0.0005,42318053,True,cifar10_resnet56,0.7686864137649536,0.0003700054658111,0.0,0.4269140064716339,0.0,0.0291260797384782,0,0.5095281600952148,0.9381999999981236,0.9963999999980072,0.1621805876493454,0.000394935690565,6.971059519855771e-06,0.0,0.550591230392456,0.0,0.0003945606806004,0,0.6924747228622437,0.9987555555553336,0.9999999999997778,6.336299702525139e-05
resnet56,4,0.5,0.1,0.0294731691332317,0.4130167365074157,0.4923674166202545,0.9365999999981268,0.9975999999980047,0.7470511198043823,0.136878415942192,0.1725572049617767,0.1000000014901161,0.0008220598101615,0,0.0005,42318077_9,True,cifar10_resnet56,0.7470511794090271,0.232973113656044,0.0172443091869354,0.4130164384841919,0.5,0.0294719712195707,0,0.4923677146434784,0.9365999999981268,0.9975999999980047,0.1725571751594543,0.0003552122216206,0.0003601433127187,5.944733857177198e-06,0.5361672639846802,0.5,0.0003548910955336,0,0.7108025550842285,0.9990222222220004,0.9999999999997778,4.7530185838695616e-05
resnet56,4,0.1,0.1,0.0287765702088835,0.4210171103477478,0.5045211315155029,0.9363999999981272,0.9971999999980056,0.7656192183494568,0.1372565627098083,0.1677906960248947,0.1000000014901161,0.0008010864257812,0,0.0005,42318077_8,True,cifar10_resnet56,0.7656192779541016,0.1372565627098083,0.0008010864257812,0.4210168719291687,0.1000000014901161,0.0287418932975915,0,0.5045205354690552,0.9363999999981272,0.9971999999980056,0.1677906960248947,0.0003027388302143,0.0003036739944946,7.099806680344045e-07,0.5496109127998352,0.1000000014901161,0.0003023625568435,0,0.6996503472328186,0.9990666666664448,0.9999999999997778,4.650129267247394e-05
resnet56,4,1.0,0.1,0.0289737442363471,0.3931729197502136,0.4820150136947632,0.9381999999981236,0.9963999999980072,0.7040771245956421,0.1382164061069488,0.1747117340564727,0.1000000014901161,0.0008324012160301,0,0.0005,42318077_10,True,cifar10_resnet56,0.7040771245956421,0.298745334148407,0.0580285787582397,0.3931730687618256,1.0,0.0283685848906354,0,0.4820145964622497,0.9381999999981236,0.9963999999980072,0.1747117340564727,0.0002325292007299,0.0002424719277769,1.223043364007026e-05,0.5180144906044006,1.0,0.0002328510794821,0,0.6662356853485107,0.9993555555553336,0.9999999999997778,2.588758070487529e-05
resnet56,5,2.0,0.1,0.0278778360085871,0.2202537208795547,0.3291841149330139,0.9305999999981388,0.996999999998006,0.4481484889984131,0.1552824676036834,0.2293744534254074,0.1000000014901161,0.0010831579566001,0,0.0005,42318077_17,True,cifar10_resnet56,0.4481484293937683,0.3345119953155517,0.2105840444564819,0.2202536314725876,2.0,0.0275626050170533,0,0.3291842341423034,0.9305999999981388,0.996999999998006,0.2293744534254074,0.0016622232506051,0.0016819251468405,0.0003594730515033,0.3387405574321747,2.0,0.0016622940222621,0,0.5193321704864502,0.9952888888886676,0.9999999999997778,0.0002018929517362
resnet56,5,0.001,0.1,0.0304013887268289,0.1332380473613739,0.2367941737174987,0.9227999999981544,0.9975999999980047,0.356903076171875,0.1689918637275695,0.2775220274925232,0.1000000014901161,0.0013046264648437,0,0.0005,42318077_12,True,cifar10_resnet56,0.356903076171875,0.0229233670979738,2.2890162654221058e-07,0.1332382708787918,0.0010000000474974,0.0304360034723391,0,0.2367942035198211,0.9227999999981544,0.9975999999980047,0.2775220274925232,0.0063503044657409,0.0015001236461102,6.282593858486507e-07,0.2351521253585815,0.0010000000474974,0.0063525395820128,0,0.3775075674057007,0.9790666666664491,0.9999999999997778,0.0012941079912707
resnet56,5,0.1,0.1,0.030901315606581,0.1460894346237182,0.2089523077011108,0.9247999999981504,0.9973999999980052,0.3694815933704376,0.1673124134540558,0.2773948609828949,0.1000000014901161,0.0013026744127273,0,0.0005,42318077_14,True,cifar10_resnet56,0.3694815933704376,0.1673123836517334,0.0013026781380176,0.1460894346237182,0.1000000014901161,0.0307036793637239,0,0.2089520692825317,0.9247999999981504,0.9973999999980052,0.2773948609828949,0.0048975036479532,0.0048978994600474,4.330126103013754e-06,0.2518803179264068,0.1000000014901161,0.0049028611528833,0,0.3942131400108337,0.9831777777775592,0.9999999999997778,0.0008488468010909
repvgg_a0,4,0.5,0.1,0.0289564266656098,0.5651608109474182,0.6383376717567444,0.94499999999811,0.9971999999980056,1.055888056755066,0.1252366006374359,0.1133806705474853,0.1000000014901161,0.0005501732230186,0,0.0005,42297269_9,True,cifar10_repvgg_a0,1.0558881759643557,0.2546887993812561,0.0123190879821777,0.5651610493659973,0.5,0.0299539727009074,0,0.6383382081985474,0.94499999999811,0.9971999999980056,0.1133806705474853,7.369550439761952e-05,7.866157102398574e-05,1.5618024917785078e-06,0.6605147123336792,0.5,7.36980624721103e-05,0,0.713516116142273,0.9998888888886668,0.9999999999997778,7.757543244224507e-06
repvgg_a0,0,0.0,0.1,0.0320940764460429,0.5795071125030518,0.6408928632736206,0.9393999999981212,0.9977999999980044,1.1122573614120483,0.11771010607481,0.1043992415070533,0.1000000014901161,0.00050700455904,0,0.0005,42297321,True,cifar10_repvgg_a0,1.1122573614120483,0.000170637096744,0.0,0.5795067548751831,0.0,0.0321303614254576,0,0.6408923268318176,0.9393999999981212,0.9977999999980044,0.1043992266058921,8.54489189805463e-05,3.2219347758655204e-06,0.0,0.6701062917709351,0.0,8.534271152449992e-05,0,0.7139929533004761,0.999799999999778,0.9999999999997778,1.963108661584556e-05
repvgg_a0,5,0.01,0.1,0.0271864033168222,0.2452578693628311,0.3575428128242492,0.9315999999981368,0.9981999999980036,0.4834154546260834,0.158231183886528,0.2225232869386673,0.1000000014901161,0.0010555163025856,0,0.0005,42297269_13,True,cifar10_repvgg_a0,0.4834154546260834,0.0612302012741565,1.1424068361520767e-05,0.2452580034732818,0.0099999997764825,0.0275529958169978,0,0.3575430512428283,0.9315999999981368,0.9981999999980036,0.2225233167409896,0.0026036910712718,0.0020438279025256,2.877040969906375e-07,0.3623179793357849,0.0099999997764825,0.0026032209652187,0,0.5597469806671143,0.9923111111108908,0.9999777777775556,0.0004341254243627
