SGD-DA,SGD-L2,SGD-L2-DA,SGD,SGD-IR,SGD-DA-IR,SGD-L2-DA-IR,SGD-L2-IR
1.903731346130371,2.4632346630096436,2.0314371585845947,3.8368468284606934,2.7602906227111816,1.6323479413986206,1.866914987564087,1.8846960067749023
1.946772575378418,2.4545066356658936,1.9084681272506714,3.853126049041748,2.695736885070801,1.6002411842346191,2.152653217315674,1.8779376745224
2.0583460330963135,2.6323156356811523,1.9636112451553345,3.837364673614502,2.6482667922973633,1.6519454717636108,1.9788029193878174,1.9835124015808105
2.0309157371520996,2.5495035648345947,1.84800386428833,3.864675283432007,2.847928762435913,1.585537314414978,1.9915916919708252,2.02738356590271
2.1054463386535645,2.3491508960723877,1.6652238368988037,3.858844518661499,3.003981113433838,1.6429743766784668,2.0484633445739746,2.4559121131896973
2.0347468852996826,2.963353157043457,1.699009895324707,3.8826546669006348,2.9002513885498047,1.6699007749557495,2.0127151012420654,1.8888496160507202
2.15999436378479,2.5731751918792725,1.756255030632019,3.8793928623199463,2.875401020050049,1.5912377834320068,1.8369147777557373,1.8213484287261963
2.103480339050293,2.5621814727783203,1.9146745204925537,3.872121810913086,3.0235800743103027,1.654036521911621,1.734480619430542,1.994765043258667
2.1106722354888916,2.4656882286071777,1.6649755239486694,3.8939874172210693,2.892561674118042,1.5549949407577515,1.8333654403686523,1.9574167728424072
2.125589370727539,2.5870261192321777,1.9150093793869019,3.9143741130828857,3.056597948074341,1.5744878053665161,1.9156261682510376,1.9167814254760742
2.074554920196533,2.6134719848632812,1.668320655822754,3.923967123031616,2.948427677154541,1.5849707126617432,2.3847572803497314,2.0336859226226807
2.10552716255188,2.561553955078125,1.6619999408721924,3.903106451034546,3.054657459259033,1.6372997760772705,1.9571757316589355,1.9500738382339478
2.2353243827819824,2.8745369911193848,1.7863085269927979,3.9127678871154785,2.9778923988342285,1.7517690658569336,1.8316057920455933,1.981582522392273
2.056746006011963,2.623394012451172,1.7885464429855347,3.9174811840057373,3.043156862258911,1.7109321355819702,1.8739149570465088,1.88296639919281
2.1210715770721436,2.570887327194214,1.7244155406951904,3.8998303413391113,3.020397186279297,1.5838812589645386,1.6481729745864868,1.8393445014953613
2.0759971141815186,2.4658875465393066,1.6016602516174316,3.923231840133667,3.1868858337402344,1.5659362077713013,1.7662620544433594,2.027233839035034
2.1069564819335938,2.622082233428955,1.858317494392395,3.9245755672454834,3.113239288330078,1.6079323291778564,1.7369706630706787,1.8450528383255005
2.1967289447784424,2.36334490776062,1.8121299743652344,3.939056873321533,3.1462209224700928,1.6194595098495483,1.8253933191299438,1.9624930620193481
2.223179578781128,2.7499492168426514,1.6548913717269897,3.933025360107422,3.1117398738861084,1.5953439474105835,2.0907444953918457,2.3387551307678223
2.1651713848114014,2.6016550064086914,1.5804773569107056,3.9141550064086914,3.160029888153076,1.6447288990020752,2.0449702739715576,1.9076597690582275
2.1582651138305664,2.4562838077545166,1.8136359453201294,3.94343900680542,3.123638153076172,1.5979167222976685,1.8589050769805908,1.9677928686141968
2.2429940700531006,2.5062308311462402,1.7909550666809082,3.9487175941467285,3.205477714538574,1.6880569458007812,1.7833644151687622,1.883115530014038
2.252990961074829,2.6430163383483887,1.802290916442871,3.9529781341552734,3.211095094680786,1.6824376583099365,1.783208966255188,1.8769093751907349
2.3014585971832275,2.5202741622924805,1.7984046936035156,3.9506328105926514,3.2333850860595703,1.693809151649475,1.993806004524231,1.9142526388168335
2.2622461318969727,2.517745018005371,1.5480924844741821,3.945452928543091,3.2025046348571777,1.6022169589996338,1.7126691341400146,1.8803784847259521
2.3789455890655518,2.6642916202545166,1.5383648872375488,3.9564287662506104,3.2201969623565674,1.5686943531036377,1.8810083866119385,1.9419069290161133
2.308393716812134,2.482152223587036,1.923417091369629,3.9664292335510254,3.2183539867401123,1.6805849075317383,1.9876749515533447,1.9024686813354492
2.380098342895508,2.9027678966522217,1.9242331981658936,3.974999189376831,3.222916603088379,1.5989457368850708,1.8092904090881348,1.9460464715957642
2.375006675720215,2.8327157497406006,1.9307363033294678,3.961446762084961,3.1610443592071533,1.6617388725280762,1.623843789100647,1.8318073749542236
2.331101417541504,2.6299757957458496,1.9490636587142944,3.9635419845581055,3.2172117233276367,1.6288901567459106,1.7456823587417603,2.0294108390808105
2.3730762004852295,2.5781660079956055,1.8222341537475586,3.9614174365997314,3.191150426864624,1.6109179258346558,1.6782550811767578,1.919055461883545
2.3801791667938232,2.634197950363159,1.7097923755645752,3.969680070877075,3.21551251411438,1.7082425355911255,1.7125881910324097,1.9973160028457642
2.450355052947998,3.2263269424438477,1.9054491519927979,3.9836623668670654,3.197653293609619,1.862625002861023,1.842311143875122,2.0994532108306885
2.3478949069976807,2.6889193058013916,1.702648401260376,3.979159355163574,3.21311092376709,1.577229619026184,1.80008864402771,1.9990663528442383
2.3780765533447266,2.681403875350952,1.5032036304473877,3.989173412322998,3.2106196880340576,1.6186603307724,1.8099651336669922,2.04447865486145
2.4704151153564453,2.5478601455688477,1.5581560134887695,3.982884645462036,3.2150771617889404,1.6568772792816162,1.7394341230392456,1.9149397611618042
2.340702772140503,2.8623597621917725,1.7769253253936768,3.9903275966644287,3.215026617050171,1.6356877088546753,1.7492257356643677,2.0079240798950195
2.445375680923462,2.5158843994140625,1.5991796255111694,4.007900714874268,3.227764368057251,1.7369352579116821,1.752264380455017,2.0274124145507812
2.4436349868774414,2.6693053245544434,1.6676198244094849,4.00723123550415,3.2274582386016846,1.6531811952590942,2.0181968212127686,2.0709500312805176
2.45534348487854,2.7440147399902344,1.8555471897125244,3.9854819774627686,3.21964955329895,1.6026040315628052,1.5879571437835693,1.9728307723999023
2.477417230606079,3.003614664077759,1.677709698677063,4.010567665100098,3.240408182144165,1.6993446350097656,1.6231892108917236,1.8693652153015137
2.4411072731018066,2.648695707321167,1.8222880363464355,4.0028557777404785,3.2519447803497314,1.6857222318649292,1.7095752954483032,2.0867514610290527
2.506777286529541,2.5894737243652344,1.6465001106262207,4.0202531814575195,3.245997667312622,1.6729323863983154,1.7635618448257446,1.9013978242874146
2.5225908756256104,2.525036096572876,2.349828004837036,4.000114917755127,3.249401569366455,1.741753101348877,1.5754793882369995,1.988415002822876
2.5607948303222656,2.5832924842834473,1.683083176612854,4.0012688636779785,3.2562830448150635,1.6458159685134888,1.668652892112732,1.935101866722107
2.6149518489837646,2.573087453842163,1.7262972593307495,4.001122951507568,3.2655138969421387,1.7404265403747559,1.6568695306777954,1.7275385856628418
2.5587754249572754,2.505031108856201,1.563521146774292,4.0063629150390625,3.274252414703369,1.7307347059249878,1.623774766921997,2.0148022174835205
2.579869270324707,2.5055160522460938,1.6846249103546143,4.019914627075195,3.280090570449829,1.7463476657867432,1.647621989250183,1.912705421447754
2.5787124633789062,2.638676166534424,1.7453932762145996,4.029616832733154,3.2823026180267334,1.7570226192474365,1.6884427070617676,1.9889968633651733
2.5723679065704346,2.7192513942718506,1.66047203540802,4.024843215942383,3.29559063911438,1.736541748046875,1.6918667554855347,1.8719574213027954
2.6556479930877686,2.6205694675445557,1.784006953239441,4.018257141113281,3.2895662784576416,1.732577919960022,1.5502158403396606,1.8604280948638916
2.5753426551818848,2.7133100032806396,1.5906683206558228,4.014752388000488,3.294269561767578,1.7561843395233154,1.6231350898742676,1.9674298763275146
2.605388641357422,2.509392023086548,1.7354546785354614,4.027584552764893,3.3152427673339844,1.6931872367858887,1.6213971376419067,1.9062210321426392
2.557450532913208,2.5836877822875977,1.6343313455581665,4.019587993621826,3.3090198040008545,1.7279101610183716,1.7604589462280273,1.8961337804794312
2.5927889347076416,2.5243167877197266,1.4290597438812256,4.036181926727295,3.313647508621216,1.7458679676055908,1.583495020866394,1.9586665630340576
2.6169323921203613,2.6854593753814697,1.6044739484786987,4.021422863006592,3.319350004196167,1.7100971937179565,1.6069586277008057,1.792478084564209
2.683992624282837,2.9597699642181396,1.776924967765808,4.0431694984436035,3.33947491645813,1.78578782081604,1.6104828119277954,1.8422819375991821
2.6476447582244873,2.5350940227508545,1.4962702989578247,4.026600360870361,3.3203787803649902,1.821624517440796,1.5195502042770386,1.9977401494979858
2.6135871410369873,2.61603045463562,1.6667016744613647,4.035493850708008,3.336703062057495,1.7656021118164062,1.4558812379837036,1.8995435237884521
2.623222827911377,2.3858988285064697,1.586625576019287,4.0637030601501465,3.3362233638763428,1.7765909433364868,1.7771061658859253,2.023569107055664
2.663506507873535,2.8141281604766846,1.8104010820388794,4.043713569641113,3.3409690856933594,1.757127285003662,1.7436903715133667,2.0175721645355225
2.649991989135742,2.364220142364502,1.690941333770752,4.04972505569458,3.343271017074585,1.8399658203125,1.4906346797943115,1.826345443725586
2.7408604621887207,2.5821263790130615,1.5340485572814941,4.02909517288208,3.334193706512451,1.8373485803604126,1.510204792022705,2.0012900829315186
2.723679780960083,2.4656553268432617,1.4876153469085693,4.045260429382324,3.341385841369629,1.8077234029769897,1.5825855731964111,1.8630589246749878
2.7511143684387207,2.536128520965576,1.6037230491638184,4.037717819213867,3.3423659801483154,1.9114476442337036,1.4195795059204102,1.8232333660125732
2.731356143951416,2.4684128761291504,1.5102545022964478,4.0384345054626465,3.3449230194091797,1.8148386478424072,1.5765353441238403,1.8802112340927124
2.7496562004089355,2.565290689468384,1.6350703239440918,4.045478820800781,3.3489818572998047,1.882277488708496,1.5928609371185303,1.8671104907989502
2.8021674156188965,2.550032377243042,1.4322501420974731,4.045431137084961,3.347386598587036,1.8284327983856201,1.6615147590637207,1.9082438945770264
2.8001773357391357,2.601492404937744,1.5163382291793823,4.060978889465332,3.3569905757904053,1.8731495141983032,1.5322489738464355,1.9616202116012573
2.7260613441467285,2.5545809268951416,1.5349217653274536,4.050952434539795,3.3614022731781006,1.9063431024551392,1.4374585151672363,1.8657249212265015
2.759049415588379,2.771402359008789,1.6496812105178833,4.0577826499938965,3.368922233581543,1.880719542503357,1.508786916732788,1.940615177154541
2.7635293006896973,2.4424233436584473,1.5691591501235962,4.039207458496094,3.36014986038208,1.8267878293991089,1.471557378768921,1.8705745935440063
2.7546236515045166,2.3666093349456787,1.6530067920684814,4.052953720092773,3.364405393600464,1.9164104461669922,1.4443084001541138,1.956695318222046
2.8384265899658203,2.186333656311035,1.438483715057373,4.055421352386475,3.3654491901397705,1.913245677947998,1.5358800888061523,1.9270886182785034
