name,wd,reg,lamb,celoss,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:4,lamb:0.1",0.005,4,0.1,1,43253683_8,True,True,cifar10_resnet20,0.2764033675193786,0.232512891292572,0.0028610173612833,0.0145365931093692,0.1000000014901161,0.2749475440498335,0,0.8060765862464905,0.9085999999981828,0.9977999999980044,0.6413264274597168,0.1272747814655304,0.0976652204990387,0.0006367955356836,0.0373160615563392,0.1000000014901161,0.1272185526461954,0,0.1545634269714355,0.9659111111108966,0.9997111111108892,0.136595070362091
"resnet32-reg:3,lamb:0.5",0.001,3,0.5,1,43253683_3,True,True,cifar10_resnet32,0.2693013250827789,0.2676953375339508,0.0481600314378738,0.015597341582179,0.5,0.2710596895352713,0,0.132114976644516,0.9105999999981788,0.9967999999980064,0.6448022127151489,0.1241035461425781,0.1219225227832794,0.0122394561767578,0.0306557025760412,0.5,0.1240596929071255,0,0.1857047975063324,0.9621999999997862,0.9996666666664444,0.1305960863828659
"resnet32-reg:3,lamb:1.0",0.0005,3,1.0,1,43253683_4,True,True,cifar10_resnet32,0.2738479375839233,0.2738261818885803,0.1709922552108764,0.0335264429450035,1.0,0.27488075555528,0,0.1536869406700134,0.9177999999981644,0.9967999999980064,0.9657108187675476,0.0416963994503021,0.0416457168757915,0.0100172460079193,0.0179346315562725,1.0,0.0416810675077164,0,0.230323314666748,0.9900666666664468,0.9999777777775556,0.0309249404817819
"resnet32-reg:3,lamb:0.1",0.005,3,0.1,1,43253683_2,True,True,cifar10_resnet32,0.7308452129364014,0.3543042242527008,0.0041043013334274,0.0300763715058565,0.1000000014901161,0.7313411887803712,0,0.0623688995838165,0.7431999999985136,0.9841999999980316,0.8739388585090637,0.757697582244873,0.338441252708435,0.0035994946956634,0.0688580572605133,0.1000000014901161,0.7577893296672756,0,0.1034701466560363,0.7446222222220568,0.982822222222004,0.7545554637908936
"resnet20-reg:4,lamb:0.5",0.001,4,0.5,1,43253683_9,True,True,cifar10_resnet20,0.2406622469425201,0.2405308485031128,0.0555547028779983,0.0328594744205474,0.5,0.2397459833615341,0,0.1909091472625732,0.925999999998148,0.9971999999980056,0.8269283175468445,0.0179382376372814,0.0177060719579458,0.000751307234168,0.0124651826918125,0.5,0.0179309465234901,0,0.2832100391387939,0.9979111111108894,0.9999999999997778,0.0072401221841573
"resnet32-reg:3,lamb:2.0",0.00025,3,2.0,1,43253683_5,True,True,cifar10_resnet32,0.3076727390289306,0.3076830506324768,0.5013794898986816,0.0417331904172897,2.0,0.3078692330370787,0,0.2868332862854004,0.9223999999981553,0.9965999999980067,1.5639249086380005,0.0189687497913837,0.0189762115478515,0.0126613155007362,0.0087038502097129,2.0,0.018957681884039,0,0.2082378566265106,0.9954888888886676,0.9999999999997778,0.0127776693552732
"resnet32-reg:4,lamb:0.001",0.5,4,0.001,1,43253683_6,True,True,cifar10_resnet32,2.3026046752929688,2.752353611867875e-05,4.349276423454285e-07,0.0048976317048072,0.0010000000474974,2.302604709904453,0,0.0048976317048072,0.0951999999998096,0.4867999999990264,3.824229679594282e-07,2.3025832176208496,2.7867165044881403e-05,4.135072231292725e-07,0.0004356876015663,0.0010000000474974,2.3025829587516764,0,0.0004356876015663,0.100533333333311,0.5014666666665553,3.811796887021046e-07
"resnet32-reg:4,lamb:0.01",0.05,4,0.01,1,43253683_7,True,True,cifar10_resnet32,2.302664279937744,0.0003408068732824,1.132488250732422e-06,0.0051722899079322,0.0099999997764825,2.30266543511652,0,0.0051722899079322,0.0951999999998096,0.4867999999990264,5.846108251716942e-06,2.302579402923584,0.0003395869571249,2.831220626831055e-07,0.0001653879880905,0.0099999997764825,2.3025792957753253,0,0.0001653879880905,0.100533333333311,0.5014666666665553,5.816364591737511e-06
"resnet32-reg:4,lamb:0.1",0.005,4,0.1,1,43253683_8,True,True,cifar10_resnet32,0.2753629684448242,0.2439223527908325,0.0033806804567575,0.0201184637844562,0.1000000014901161,0.2770381531224272,0,0.266695499420166,0.91499999999817,0.9961999999980076,0.7684348225593567,0.1041844338178634,0.0843590348958969,0.0005755713209509,0.0266304183751344,0.1000000014901161,0.1041518653345129,0,0.1424366533756256,0.9705111111108956,0.999599999999778,0.1245539635419845
"resnet44-reg:3,lamb:0.01",0.05,3,0.01,1,43253683_1,True,True,cifar10_resnet44,2.3027150630950928,0.0010872101411223,6.854534149169922e-07,0.0041698291897773,0.0099999997764825,2.302731465141969,0,0.0041698291897773,0.0973999999998052,0.4957999999990084,5.81905223953072e-05,2.302603244781494,0.0010919166961684,5.21540641784668e-07,0.001274436712265,0.0099999997764825,2.302603516935519,0,0.001274436712265,0.1002888888888666,0.5004666666665555,5.8732541219796985e-05
