name,reg,lamb,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant,celoss,wd,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
mobilenetv2_x0_5,10,0.1,0.1,0.1768913405994253,0.0183137152343988,0.2735521197319031,0.9421999999981155,0.9975999999980047,0.1793763637542724,0.1710659563541412,0.5515832901000977,0.1000000014901161,0.0023832079023122,1,0.0005,43472234,False,True,cifar10_mobilenetv2_x0_5,0.1793763637542724,0.1710658967494964,0.0023832079023122,0.0183138083666563,0.1000000014901161,0.1774266718930982,0,0.2735521197319031,0.9421999999981155,0.9975999999980047,0.5515832901000977,0.0119040887802839,0.0094791194424033,1.3574841432273388e-05,0.0102607663720846,0.1000000014901161,0.0119026634353858,0,0.3641276955604553,0.999599999999778,0.9999999999997778,0.0026498001534491
mobilenetv2_x1_0,10,0.1,0.1,0.1485429107400138,0.0161782354116439,0.2838651537895202,0.9525999999980947,0.9983999999980032,0.1471111327409744,0.1428849101066589,0.4766843020915985,0.1000000014901161,0.0020529953762888,1,0.0005,43472234,False,True,cifar10_mobilenetv2_x1_0,0.1471111327409744,0.1428849548101425,0.0020529953762888,0.0161777455359697,0.1000000014901161,0.1481354282428234,0,0.2838651537895202,0.9525999999980947,0.9983999999980032,0.4766842722892761,0.0044753858819603,0.0030382662080228,1.219043042510748e-06,0.0042202407494187,0.1000000014901161,0.0044787626986133,0,0.6042833924293518,0.9999999999997778,0.9999999999997778,0.0002380926162004
resnet56,10,0.1,0.1,0.1827415294031532,0.0216116867959499,0.2761792838573456,0.9497999999981004,0.9987999999980024,0.1844478696584701,0.1806333065032959,0.7166149020195007,0.1000000014901161,0.0030152909457683,1,0.0005,43472234,False,True,cifar10_resnet56,0.1844478696584701,0.1806333214044571,0.0030152909457683,0.0216127783060073,0.1000000014901161,0.1829293827542946,0,0.2761792838573456,0.9497999999981004,0.9987999999980024,0.7166149020195007,0.0038710818625986,0.0028580345679074,1.8237624317407608e-06,0.0036281927023082,0.1000000014901161,0.0038698097458556,0,0.5332188606262207,0.9999777777775556,0.9999999999997778,0.0002518981928005
resnet20,10,0.1,0.1,0.2116024340376228,0.0210084617137908,0.2079162895679474,0.9351999999981296,0.9973999999980052,0.2110847532749176,0.1993407607078552,0.6956290006637573,0.1000000014901161,0.0029724519699811,1,0.0005,43472234,False,True,cifar10_resnet20,0.2110847532749176,0.1993407607078552,0.0029714982956647,0.021008476614952,0.1000000014901161,0.2101560409061362,0,0.2079162895679474,0.9351999999981296,0.9973999999980052,0.6956290006637573,0.017592467367649,0.0144228739663958,2.2605876438319683e-05,0.0147673077881336,0.1000000014901161,0.0175931626783255,0,0.7106158137321472,0.9992666666664448,0.9999999999997778,0.0044907517731189
shufflenetv2_x2_0,10,0.1,0.1,0.1709575078526678,0.0183552019298076,0.1286273002624511,0.9497999999981004,0.997999999998004,0.1702344715595245,0.1657229959964752,0.6098679304122925,0.1000000014901161,0.0025905389338731,1,0.0005,43472234,False,True,cifar10_shufflenetv2_x2_0,0.1702344715595245,0.1657229661941528,0.0025905389338731,0.018354058265686,0.1000000014901161,0.1699203110381725,0,0.1286271214485168,0.9497999999981004,0.997999999998004,0.6098679304122925,0.0025010530371218,0.0013168960576876,2.426677383482456e-07,0.00232401676476,0.1000000014901161,0.0025011122242491,0,0.696779191493988,0.9999777777775556,0.9999999999997778,5.721784691559151e-05
vgg13_bn,10,0.1,0.1,0.1839453763340088,0.0273730922490358,0.2654140591621399,0.9475999999981048,0.9985999999980028,0.1865865886211395,0.1841081976890564,0.7478986382484436,0.1000000014901161,0.0031604990363121,1,0.0005,43472234,False,True,cifar10_vgg13_bn,0.1865866184234619,0.1841081827878952,0.0031605008989572,0.0273748263716697,0.1000000014901161,0.1863951093516591,0,0.2654140591621399,0.9475999999981048,0.9985999999980028,0.7478979825973511,0.0024021929129958,0.0016496191965416,8.470378816127777e-07,0.002243357244879,0.1000000014901161,0.0024025004993372,0,0.5468097925186157,0.9999999999997778,0.9999999999997778,7.079327770043164e-05
vgg11_bn,10,0.1,0.1,0.2514703466230937,0.0420154258608818,0.3521018624305725,0.9273999999981452,0.9967999999980064,0.2537383139133453,0.2477704584598541,0.972900390625,0.1000000014901161,0.004160301759839,1,0.0005,43472234,False,True,cifar10_vgg11_bn,0.2537381649017334,0.247770294547081,0.0041602868586778,0.0420169346034526,0.1000000014901161,0.2493940620367485,0,0.3521022200584411,0.9273999999981452,0.9967999999980064,0.9729007482528688,0.0030992575921118,0.0021394933573901,9.352806955575944e-07,0.0028980162460356,0.1000000014901161,0.003099716982009,0,0.335990309715271,0.9999777777775556,0.9999999999997778,0.0001251543872058
repvgg_a2,10,0.1,0.1,0.1611841973974042,0.0219884123653173,0.2348941564559936,0.9553999999980892,0.998999999998002,0.1609921306371688,0.1594437211751938,0.6752352714538574,0.1000000014901161,0.0028192996978759,1,0.0005,43472234,False,True,cifar10_repvgg_a2,0.1609921306371688,0.159443661570549,0.0028192996978759,0.021990530192852,0.1000000014901161,0.162771435000573,0,0.2348942756652832,0.9553999999980892,0.998999999998002,0.6752352714538574,0.0014534932561218,0.0007019537151791,3.908353392034769e-07,0.0012670755386352,0.1000000014901161,0.0014534808121674,0,0.0012664198875427,0.9999999999997778,0.9999999999997778,6.63808714307379e-06
shufflenetv2_x1_0,10,0.1,0.1,0.1966879772901571,0.0246724672615528,0.2080762088298797,0.9397999999981204,0.9977999999980044,0.1958920657634735,0.1887803375720977,0.6669331192970276,0.1000000014901161,0.0028636660426855,1,0.0005,43472234,False,True,cifar10_shufflenetv2_x1_0,0.1958920657634735,0.1887803226709365,0.0028636660426855,0.024672782048583,0.1000000014901161,0.1932154784875626,0,0.2080762088298797,0.9397999999981204,0.9977999999980044,0.6669330596923828,0.0048381956294178,0.0033053311053663,1.2604286894202232e-06,0.0045871729962527,0.1000000014901161,0.0048398930968252,0,0.4458381533622741,0.9999777777775556,0.9999999999997778,0.0002414584596408
