,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
30,resnet20,5,0.01,0.1,1.184371578770603,0.0725758969783783,0.20215052366256714,0.65099999999349,0.92099999999079,1.184371829032898,0.6330450773239136,2.805351734161377,0.10000000149011612,0.012627966701984406,0.1,1.1331086543526643,0.057457998394966125,0.4144965410232544,0.6812222222214652,0.9145555555545393,1.1331087350845337,0.6415768265724182,3.0096051692962646,0.10000000149011612,0.013308577239513397
31,resnet20,3,0.5,0.1,1.2489731186900785,0.023833908140659332,0.24608448147773743,0.64399999999356,0.89599999999104,1.2489731311798096,0.5958530306816101,2.3827877044677734,0.10000000149011612,0.010922268033027649,0.1,1.1853086935224677,0.014379480853676796,0.09747038781642914,0.6549999999992722,0.9043333333323285,1.1853086948394775,0.5949779152870178,2.4986648559570312,0.10000000149011612,0.011252999305725098
32,resnet20,5,0.5,0.1,1.177106726319448,0.08178815990686417,0.18461933732032776,0.65699999999343,0.90299999999097,1.1771069765090942,0.6385946869850159,2.828873634338379,0.10000000149011612,0.012757889926433563,0.1,1.147437081121683,0.058780744671821594,0.1190667599439621,0.6808888888881323,0.9139999999989844,1.1474370956420898,0.6550726890563965,3.197628974914551,0.10000000149011612,0.01400899887084961
33,resnet20,4,0.01,0.1,1.29772041930429,0.11643852293491364,0.2789676785469055,0.66699999999333,0.91099999999089,1.2977204322814941,0.7651920318603516,4.2468695640563965,0.10000000149011612,0.01842913031578064,0.1,1.2325395464447748,0.10096131265163422,0.19503474235534668,0.6877777777770135,0.9076666666656581,1.2325396537780762,0.7558057904243469,4.295125961303711,0.10000000149011612,0.018414638936519623
34,resnet20,4,0.5,0.1,1.271377193134922,0.0895887017250061,0.21441328525543213,0.67099999999329,0.90899999999091,1.2713772058486938,0.7432236671447754,4.166977882385254,0.10000000149011612,0.017849519848823547,0.1,1.2188170075119629,0.09546229243278503,0.15938851237297058,0.6754444444436939,0.908333333332324,1.218817114830017,0.726395845413208,3.9708750247955322,0.10000000149011612,0.017097704112529755
35,resnet20,4,2.0,0.1,1.272231327686012,0.09408202767372131,0.20053386688232422,0.66299999999337,0.9059999999909399,1.2722314596176147,0.7431312799453735,4.108755588531494,0.10000000149011612,0.017731323838233948,0.1,1.2247461729216687,0.09803164005279541,0.1653628945350647,0.6755555555548048,0.9125555555545415,1.2247461080551147,0.7293511629104614,3.9825990200042725,0.10000000149011612,0.017188027501106262
36,resnet20,4,0.001,0.1,1.3344925508564296,0.11605062335729599,0.20791089534759521,0.6559999999934399,0.899999999991,1.3344926834106445,0.776911735534668,4.3751444816589355,0.10000000149011612,0.018943488597869873,0.1,1.2209553042726893,0.10474242269992828,0.17688435316085815,0.6879999999992354,0.9105555555545437,1.2209552526474,0.7526860237121582,4.277525901794434,0.10000000149011612,0.018319547176361084
37,resnet20,4,1.0,0.1,1.3376928434117068,0.11172337830066681,0.2450510859489441,0.65399999999346,0.9059999999909399,1.3376929759979248,0.7688001394271851,4.2558746337890625,0.10000000149011612,0.018526315689086914,0.1,1.2209510392292233,0.0972553938627243,0.2051106095314026,0.6748888888881389,0.9097777777767668,1.2209510803222656,0.731172502040863,4.094010353088379,0.10000000149011612,0.01748371124267578
38,resnet32,5,1.0,0.1,1.2474735850518146,0.12036308646202087,0.2381751537322998,0.66799999999332,0.91499999999085,1.2474737167358398,0.7538536787033081,4.298408508300781,0.10000000149011612,0.018367871642112732,0.1,1.1960742592767346,0.10095258057117462,0.18710601329803467,0.6993333333325562,0.917111111110092,1.1960742473602295,0.7540941834449768,4.426520824432373,0.10000000149011612,0.018718227744102478
39,resnet32,5,2.0,0.1,1.3324738607673636,0.12123477458953857,0.21867342293262482,0.65799999999342,0.90299999999097,1.3324739933013916,0.7829379439353943,4.4480881690979,0.10000000149011612,0.019283771514892578,0.1,1.2535748467821877,0.09818825125694275,0.17451459169387817,0.6777777777770246,0.9063333333323262,1.2535748481750488,0.7554446458816528,4.336705684661865,0.10000000149011612,0.018513545393943787
