SGD-DA,SGD,SGD-L2-DA,SGD-L2,SGD-DA-IR,SGD-IR,SGD-L2-DA-IR,SGD-L2-IR
1.6555176973342896,3.1326115131378174,2.4904568195343018,2.0231127738952637,2.2043471336364746,2.1620540618896484,2.5743184089660645,2.078766345977783
1.6375519037246704,3.316493272781372,2.5836217403411865,2.777625322341919,2.136565923690796,2.096907377243042,2.6616785526275635,2.036099672317505
1.6113625764846802,3.1343090534210205,1.8408622741699219,2.2332866191864014,1.924269676208496,2.1245038509368896,2.2396085262298584,2.0827090740203857
1.7116647958755493,3.484328508377075,1.8288936614990234,2.153306007385254,1.8879878520965576,2.1656246185302734,2.5471527576446533,1.9966362714767456
1.822922945022583,3.4625065326690674,2.0818257331848145,2.1715986728668213,2.088336706161499,2.150583267211914,2.3075711727142334,2.056119203567505
1.6341632604599,3.4118850231170654,1.706586241722107,2.205512762069702,2.1122777462005615,2.2458395957946777,2.471022844314575,2.004509210586548
1.7630869150161743,3.564568281173706,1.9868639707565308,2.2292563915252686,1.919636845588684,2.216564893722534,2.2049503326416016,1.9819190502166748
1.7821823358535767,4.038339138031006,1.9028663635253906,2.4135725498199463,1.8371628522872925,2.218864679336548,2.426974296569824,2.0317084789276123
1.6587104797363281,3.3554632663726807,1.868193507194519,2.120577573776245,1.8318361043930054,2.1322715282440186,2.2742555141448975,2.149244785308838
1.711247205734253,3.613231658935547,1.777938961982727,2.160109043121338,1.8021408319473267,2.2199249267578125,2.4927849769592285,2.192201614379883
1.641371250152588,3.848797559738159,1.9450905323028564,2.398118257522583,1.9520511627197266,2.199430227279663,2.046128511428833,2.0477261543273926
1.6605855226516724,3.805173397064209,1.814008116722107,2.377089262008667,1.9299730062484741,2.218870162963867,2.0165066719055176,2.079408645629883
1.642297625541687,3.8900959491729736,2.1840531826019287,2.103388547897339,1.8547593355178833,2.3543214797973633,2.066434621810913,1.97410249710083
1.6922577619552612,3.643502950668335,1.6444615125656128,2.2259521484375,1.6921693086624146,2.267225742340088,2.2613117694854736,2.153014659881592
1.8114155530929565,3.93525767326355,1.8206944465637207,2.3061633110046387,1.7132970094680786,2.405801773071289,2.325308084487915,2.175637722015381
1.7499116659164429,3.9789459705352783,2.0588221549987793,2.5654807090759277,1.6089739799499512,2.368990898132324,2.110970973968506,1.9320683479309082
1.6699327230453491,3.9632580280303955,1.8659616708755493,2.4774105548858643,1.8785728216171265,2.407848358154297,2.2933766841888428,2.2696456909179688
1.8108819723129272,4.094435214996338,1.7198070287704468,2.547017812728882,1.632439136505127,2.3796939849853516,1.9844706058502197,1.929734706878662
1.708749532699585,3.9566478729248047,1.7621006965637207,2.122626543045044,1.7289730310440063,2.3739545345306396,2.106571912765503,1.9458439350128174
1.8392995595932007,3.8685593605041504,1.8525761365890503,2.4328246116638184,1.6188960075378418,2.5531318187713623,2.432865619659424,2.009453058242798
1.7783681154251099,3.796969413757324,1.7306783199310303,2.4167726039886475,1.6670273542404175,2.385643720626831,2.032958984375,1.9976372718811035
1.7628681659698486,3.7727725505828857,2.0037362575531006,2.3759725093841553,1.7297487258911133,2.440869092941284,2.2444539070129395,2.305114507675171
1.7890706062316895,3.7147023677825928,1.8753230571746826,2.360318899154663,1.6283427476882935,2.7172303199768066,2.152341365814209,1.8678178787231445
1.7240089178085327,3.676898717880249,1.8241909742355347,2.333378791809082,1.6321076154708862,2.487994909286499,2.0720911026000977,2.0588905811309814
1.7556228637695312,3.6969616413116455,2.126789093017578,2.451963186264038,1.6075334548950195,2.572728157043457,2.1191515922546387,2.366978168487549
1.8485664129257202,3.6928272247314453,2.145441770553589,2.4343252182006836,1.5943669080734253,2.717714309692383,2.103574752807617,2.20086407661438
1.9857980012893677,3.7183034420013428,2.377305507659912,2.5377447605133057,1.661262035369873,2.590625286102295,2.0245189666748047,2.0928971767425537
1.8425437211990356,3.7305216789245605,1.9417749643325806,2.668229341506958,1.6629024744033813,2.8154420852661133,2.1579971313476562,2.065392017364502
1.8395990133285522,3.7124035358428955,1.9357690811157227,2.374093770980835,1.6453001499176025,2.886894464492798,2.330508232116699,2.088521718978882
