id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
40,vgg19_bn,4,0.1,0.1,0.33962678569674976,0.04665655642747879,0.25154972076416016,0.94199999999058,0.99799999999002,0.33962681889533997,0.33897727727890015,2.2893848419189453,0.10000000149011612,0.00901981070637703,0.1,0.34083517023468907,0.049413472414016724,0.37235796451568604,0.9399999999989554,0.9958888888877823,0.34083518385887146,0.34053143858909607,2.299556016921997,0.10000000149011612,0.0090581513941288
41,vgg19_bn,5,1.0,0.1,0.31762134711217765,0.04727001488208771,0.33192044496536255,0.93599999999064,0.99799999999002,0.3176214098930359,0.3161071836948395,1.9998975992202759,0.10000000149011612,0.00787021592259407,0.1,0.31502231920525775,0.049151550978422165,0.31476253271102905,0.9344444444434061,0.9972222222211141,0.3150223195552826,0.3139501214027405,1.8784153461456299,0.10000000149011612,0.0075220949947834015
42,vgg19_bn,4,0.5,0.1,0.4096931178131641,0.061539072543382645,0.6039736866950989,0.92699999999073,0.99799999999002,0.40969318151474,0.4092869758605957,2.666795015335083,0.10000000149011612,0.01065487414598465,0.1,0.32791330049425543,0.048948898911476135,0.30293798446655273,0.9383333333322906,0.9969999999988921,0.3279133439064026,0.3275188207626343,2.074080467224121,0.10000000149011612,0.008279044181108475
43,vgg19_bn,5,0.1,0.1,0.3258371320565701,0.0501122772693634,0.44968506693840027,0.92699999999073,0.99699999999003,0.3258371651172638,0.32260754704475403,1.7550373077392578,0.10000000149011612,0.007099632173776627,0.1,0.29212377436286713,0.04526745155453682,0.2714936137199402,0.9329999999989632,0.9969999999988921,0.29212379455566406,0.28971579670906067,1.4749822616577148,0.10000000149011612,0.006080055609345436
44,vgg19_bn,3,0.1,0.1,2.3028526075867086,0.009098388254642487,0.009098388254642487,0.09299999999907,0.50299999999497,2.3028526306152344,0.0048995958641171455,0.00011117330723209307,0.10000000149011612,5.662441253662109e-07,0.1,2.3026206732702543,0.0013299956917762756,0.0013299956917762756,0.10077777777766579,0.4996666666661114,2.3026204109191895,0.005023723468184471,0.00011751297279261053,0.10000000149011612,2.384185791015625e-07
45,vgg19_bn,3,2.0,0.1,2.302733159879773,0.007898703217506409,0.007898703217506409,0.09299999999907,0.49199999999508,2.3027334213256836,0.0020048466976732016,1.8847009414457716e-05,0.10000000149011612,-3.8743019104003906e-07,0.1,2.302579241419443,0.0001144111156463623,0.0001144111156463623,0.10077777777766579,0.5008888888883323,2.302579164505005,0.002017911523580551,1.913880987558514e-05,0.10000000149011612,-5.960464477539063e-08
46,vgg19_bn,3,0.01,0.1,2.302872157909999,0.00921861082315445,0.00921861082315445,0.09299999999907,0.50299999999497,2.3028719425201416,0.0053175101056694984,0.00013134790060576051,0.10000000149011612,5.960464477539062e-07,0.1,2.302630262995314,0.0014433711767196655,0.0014433711767196655,0.10077777777766579,0.4996666666661114,2.3026299476623535,0.005451845936477184,0.00013874836440663785,0.10000000149011612,1.2218952178955078e-06
47,vgg19_bn,4,0.001,0.1,0.37131502853057835,0.053384650498628616,0.6431715488433838,0.93599999999064,0.99799999999002,0.371315062046051,0.3707178235054016,2.4555726051330566,0.10000000149011612,0.009756289422512054,0.1,0.3546315957473562,0.05200310796499252,0.4224531948566437,0.9367777777767369,0.9957777777766713,0.35463160276412964,0.35430243611335754,2.3877084255218506,0.10000000149011612,0.009449787437915802
48,vgg19_bn,4,2.0,0.1,0.38427939626745083,0.053515415638685226,0.5432039499282837,0.93299999999067,0.99599999999004,0.38427937030792236,0.38326194882392883,2.4278204441070557,0.10000000149011612,0.009737599641084671,0.1,0.3154233558117068,0.04848749190568924,0.37114179134368896,0.9397777777767335,0.9969999999988921,0.3154233396053314,0.31497064232826233,1.9762752056121826,0.10000000149011612,0.007905520498752594
49,vgg19_bn,5,0.01,0.1,0.3281995621286184,0.054030682891607285,0.372191458940506,0.92099999999079,0.99599999999004,0.3281995952129364,0.3238472044467926,1.6554343700408936,0.10000000149011612,0.006753183901309967,0.1,0.2904987331977314,0.04605609178543091,0.3340960144996643,0.9291111111100787,0.9959999999988932,0.2904987633228302,0.2868603467941284,1.3943275213241577,0.10000000149011612,0.005770687013864517
50,vgg19_bn,4,1.0,0.1,0.37075444685207165,0.062156278640031815,0.6957917809486389,0.92899999999071,0.99799999999002,0.3707544803619385,0.3699752986431122,2.2860360145568848,0.10000000149011612,0.009179521352052689,0.1,0.3170196791278847,0.04876353591680527,0.3602640926837921,0.9387777777767347,0.9966666666655591,0.3170197010040283,0.3166295886039734,1.9928059577941895,0.10000000149011612,0.007950711995363235
51,vgg19_bn,5,2.0,0.1,0.29382458035376163,0.03799283504486084,0.5353825688362122,0.94499999999055,0.99599999999004,0.2938246428966522,0.2927710711956024,1.9901171922683716,0.10000000149011612,0.007716890424489975,0.1,0.3090328736315362,0.04715073108673096,0.3064887523651123,0.9367777777767369,0.9962222222211152,0.3090329170227051,0.30820608139038086,1.8421671390533447,0.10000000149011612,0.007379960268735886
52,vgg19_bn,0,0.1,0.1,0.3712291978429601,0.057812970131635666,0.5915642976760864,0.9309999999906899,0.99799999999002,0.3712291717529297,0.3707360029220581,2.463085174560547,0.10000000149011612,0.009717658162117004,0.1,0.33242642180275983,0.04861665144562721,0.6261031627655029,0.9411111111100654,0.9968888888877812,0.33242642879486084,0.3321080207824707,2.186953544616699,0.10000000149011612,0.008708417415618896
