name,reg,lamb,sweep_model,_runtime,_step,_timestamp,_wandb,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"repvgg_a1-reg:3,lamb:0.1",3,0.1,cifar100_repvgg_a1,2063.316387455,199,1743603020.0421145,{'runtime': 2063},1.0209330320358276,0.11634446680545808,0.011634446680545809,0.04046834632754326,0.10000000149011612,1.015518209084309,0,0.08474017679691315,0.7110999999992889,0.9250999999990748,2.622363567352295,0.5084719061851501,0.03242630511522293,0.003242630511522293,0.07751527428627014,0.10000000149011612,0.5086244259302308,0,0.14817041158676147,0.8515399999998298,0.9829599999998034,0.6996786594390869
"repvgg_a1-reg:4,lamb:2.0",4,2.0,cifar100_repvgg_a1,2068.694564145,199,1743603052.3181891,{'runtime': 2068},0.980369508266449,0.7759131789207458,1.5518263578414917,0.08743874728679657,2.0,0.9733972442696854,0,0.20611906051635745,0.7602999999992396,0.9324999999990674,3.6300108432769775,0.0076155224815011024,0.000499204732477665,0.00099840946495533,0.006935790181159973,2.0,0.007634617040988779,0,0.6972763538360596,0.9997599999998,0.9999999999998,0.0006602053181268275
"repvgg_a1-reg:3,lamb:0.01",3,0.01,cifar100_repvgg_a1,2059.138667796,199,1743603061.3277118,{'runtime': 2059},1.063833713531494,0.0128844752907753,0.000128844752907753,0.03688525035977363,0.009999999776482582,1.0592691657279194,0,0.09767697006464005,0.6956999999993042,0.9184999999990814,2.6146159172058105,0.6666799783706665,0.005402183160185814,5.402183160185814e-05,0.06550026684999466,0.009999999776482582,0.6670707704121008,0,0.12209635972976685,0.8058399999998389,0.9665799999998068,1.0966696739196775
"repvgg_a1-reg:3,lamb:2.0",3,2.0,cifar100_repvgg_a1,2066.731609628,199,1743603091.9030826,{'runtime': 2066},1.0672359466552734,0.8426742553710938,1.6853485107421875,0.10414473712444304,2.0,1.0610250142544353,0,0.2053731083869934,0.737899999999262,0.9282999999990716,4.280608654022217,0.049322400242090225,0.010328564792871475,0.02065712958574295,0.036372315138578415,2.0,0.04932687298276118,0,0.8208597898483276,0.9953399999998008,0.9999799999998,0.01633504591882229
"vgg13_bn-reg:8,lamb:0.001",8,0.001,cifar100_vgg13_bn,1833.160353721,199,1743603241.3942914,{'runtime': 1833},4.605177402496338,-0.00011548399197636172,-1.1548399925231938e-07,0.00010891910642385484,0.0010000000474974513,4.605159043114457,0,0.00010891910642385484,0.00999999999999,0.049999999999949994,1.4355831808643416e-05,4.605177402496338,8.739576151128858e-05,0.001064300537109375,0.00010324455797672272,12.177942276000977,4.605173147219595,0,0.00010324455797672272,0.009999999999998,0.04999999999999,1.435583362763282e-05
"vgg13_bn-reg:8,lamb:0.5",8,0.5,cifar100_vgg13_bn,1857.491448453,199,1743603285.4961257,{'runtime': 1857},4.605175495147705,3.337860107421875e-06,1.6689300537109375e-06,8.799508213996887e-05,0.5,4.605157600682054,0,8.799508213996887e-05,0.00999999999999,0.049999999999949994,1.031119882100029e-05,4.605175495147705,0.0016447358066216111,0.4962158203125,9.396113455295564e-05,301.69940185546875,4.605171928365431,0,9.396113455295564e-05,0.009999999999998,0.04999999999999,1.0311199730494993e-05
"vgg13_bn-reg:8,lamb:0.1",8,0.1,cifar100_vgg13_bn,1856.966200994,199,1743603291.317233,{'runtime': 1857},4.605175495147705,6.258487701416016e-06,6.258487701416016e-07,8.799508213996887e-05,0.10000000149011612,4.605157600682054,0,8.799508213996887e-05,0.00999999999999,0.049999999999949994,1.031119882100029e-05,4.605175495147705,0.0007234160439111292,0.09808349609375,9.396113455295564e-05,135.58380126953125,4.605171928365431,0,9.396113455295564e-05,0.009999999999998,0.04999999999999,1.0311199730494993e-05
"repvgg_a1-reg:3,lamb:0.5",3,0.5,cifar100_repvgg_a1,2067.329539082,199,1743603538.2634375,{'runtime': 2067},0.9822372794151306,0.4306911826133728,0.2153455913066864,0.06787203252315521,0.5,0.9780681309639028,0,0.1308523416519165,0.7322999999992676,0.9302999999990696,3.114771842956543,0.1963655650615692,0.029344767332077023,0.014672383666038511,0.08069504052400589,0.5,0.1964264656411887,0,0.2323368787765503,0.955639999999809,0.9990999999998004,0.14710381627082825
"vgg13_bn-reg:8,lamb:1.0",8,1.0,cifar100_vgg13_bn,1843.496790933,199,1743603320.4912531,{'runtime': 1843},4.605175495147705,5.245208740234375e-06,5.245208740234375e-06,8.799508213996887e-05,1.0,4.605157600682054,0,8.799508213996887e-05,0.00999999999999,0.049999999999949994,1.031119882100029e-05,4.605175495147705,0.002371664857491851,1.0352783203125,9.396113455295564e-05,436.5196533203125,4.605171928365431,0,9.396113455295564e-05,0.009999999999998,0.04999999999999,1.0311199730494993e-05
"vgg13_bn-reg:8,lamb:2.0",8,2.0,cifar100_vgg13_bn,1837.429515902,199,1743603360.3178508,{'runtime': 1837},4.605175495147705,1.049041748046875e-05,2.09808349609375e-05,8.799508213996887e-05,2.0,4.605157600682054,0,8.799508213996887e-05,0.00999999999999,0.049999999999949994,1.031119882100029e-05,4.605175495147705,0.0035601125564426184,2.447998046875,9.396113455295564e-05,687.6181640625,4.605171928365431,0,9.396113455295564e-05,0.009999999999998,0.04999999999999,1.0311199730494993e-05
