id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/mce,test/alphaD,test/lambd,test/cummulant,test/top1_acc,test/top5_acc,test/L,test/var,test/ece
49,resnet32,4,1.0,0.1,1.2286182519121207,0.1306963860988617,0.2664424479007721,0.6899999999931,0.91599999999084,1.2286185026168823,0.7837339043617249,4.59909200668335,0.1000000014901161,0.0197205394506454,0.1,1.289669922879201,0.2443543076515197,0.8400949239730835,0.1000000014901161,0.0228726416826248,0.9819199999998036,0.9999399999998,0.1134521216154098,0.0565517321228981,0.0663233995437622
50,resnet32,3,0.001,0.1,1.3652500969737198,0.0517840236425399,0.1375327706336975,0.60899999999391,0.8799999999912,1.3652501106262207,0.6525474786758423,2.7939906120300293,0.1000000014901161,0.0127996057271957,0.1,1.3156108046854675,0.5051113367080688,0.6657451391220093,0.1000000014901161,0.0137269794940948,0.7026199999998595,0.9270999999998146,1.0336401462554932,1.72745943069458,0.0564290434122085
51,resnet32,3,2.0,0.1,1.217736232024298,0.0728042647242546,0.1515368223190307,0.65699999999343,0.92099999999079,1.2177363634109497,0.6662015914916992,3.2588815689086914,0.1000000014901161,0.0142992958426475,0.1,1.200474313885595,0.115020751953125,0.6799861788749695,0.1000000014901161,0.0150850862264633,0.860179999999828,0.9887799999998024,0.491834819316864,0.5416536331176758,0.1060334146022796
52,resnet32,3,0.5,0.1,1.153352487474654,0.0452775582671165,0.1148521900177002,0.66299999999337,0.92699999999073,1.1533526182174685,0.6041919589042664,2.6512668132781982,0.1000000014901161,0.0118124783039093,0.1,1.14236263307163,0.0968130528926849,0.6219788789749146,0.1000000014901161,0.0126213058829307,0.8161199999998369,0.979839999999804,0.6219958066940308,0.7289271354675293,0.1002435907721519
53,resnet32,5,0.5,0.1,1.1556450012990798,0.1016649529337883,0.419232577085495,0.68499999999315,0.92599999999074,1.1556452512741089,0.6988697052001953,3.714653491973877,0.1000000014901161,0.0160247609019279,0.1,1.1247210887491907,0.1704743206501007,0.7048050165176392,0.1000000014901161,0.0164485499262809,0.939819999999812,0.9988999999998004,0.2432915419340133,0.1896200329065323,0.0893161445856094
54,resnet32,3,0.01,0.1,1.2594120376530722,0.0430587381124496,0.1248812675476074,0.62699999999373,0.88599999999114,1.2594122886657717,0.6222389936447144,2.6280078887939453,0.1000000014901161,0.0119390040636062,0.1,1.23319362132486,0.0732564479112625,0.6408892273902893,0.1000000014901161,0.0129630342125892,0.725319999999855,0.9394199999998122,0.941082239151001,1.5247102975845337,0.061443842947483
55,resnet32,0,0.0,0.1,1.367428169881321,0.1508741676807403,0.2941544950008392,0.6809999999931899,0.91099999999089,1.367428421974182,0.8922368884086609,6.059282779693604,0.1000000014901161,0.0252812057733535,0.1,1.3295942000344798,0.271458089351654,0.8714636564254761,0.1000000014901161,0.0243082791566848,0.9779399999998044,0.9994199999998,0.1139961183071136,0.0855244547128677,0.0544527098536491
56,resnet32,5,0.1,0.1,1.1608384731557144,0.0982141196727752,0.191769003868103,0.68199999999318,0.91899999999081,1.160838603973389,0.6943346261978149,3.605934858322144,0.1000000014901161,0.0156690999865531,0.1,1.0993493783179904,0.1590042114257812,0.6640865802764893,0.1000000014901161,0.0144664198160171,0.8968399999998207,0.9928599999998016,0.3589327931404114,0.4171041250228882,0.0778796225786209
57,vgg11_bn,4,1.0,0.1,1.6602408719931725,0.1835189461708068,0.4143668711185455,0.68499999999315,0.88199999999118,1.6602407693862915,1.0644539594650269,7.797954559326172,0.1000000014901161,0.0332411527633667,0.1,1.5309864795416137,0.3861836194992065,1.0402226448059082,0.1000000014901161,0.0330024510622024,0.9984399999998004,0.9999999999998,0.0092534963041543,0.0061693675816059,0.0051283347420394
58,vgg11_bn,5,0.1,0.1,1.518549546315054,0.1741332113742828,0.3870968520641327,0.66899999999331,0.89399999999106,1.518549919128418,0.955532968044281,6.559174060821533,0.1000000014901161,0.0277323722839355,0.1,1.4288233502724648,0.3252609968185425,0.9627482891082764,0.1000000014901161,0.0290861129760742,0.964819999999807,0.9984799999998004,0.1183705553412437,0.1941176652908325,0.0193406883627176
59,vgg11_bn,3,1.0,0.1,4.605286552152701,0.0002669775858521,0.0002669775858521,0.0099999999999,0.04499999999955,4.605286121368408,0.0055449823848903,0.0001512574672233,0.1000000014901161,7.450580596923828e-07,0.1,4.605239439191878,0.0002671517431735,0.0054783779196441,0.1000000014901161,1.2814998626708984e-06,0.009999999999998,0.04999999999999,4.605244159698486,0.000147606304381,0.0002611521631479
60,vgg11_bn,4,0.01,0.1,1.5549347245171812,0.1591781973838806,0.3942473232746124,0.68499999999315,0.86299999999137,1.554934859275818,1.0048233270645142,7.124687671661377,0.1000000014901161,0.0302355289459228,0.1,1.488993179468237,0.3531861901283264,1.005859613418579,0.1000000014901161,0.0311148166656494,0.9990399999998002,0.9999999999998,0.0068917241878807,0.0035923069808632,0.0044094840995967
61,vgg11_bn,5,0.5,0.1,1.6818042825365105,0.2004592418670654,0.9340921640396118,0.66499999999335,0.87899999999121,1.6818045377731323,1.08399498462677,8.460443496704102,0.1000000014901161,0.0350093841552734,0.1,1.5041729989822814,0.3608065843582153,1.0238512754440308,0.1000000014901161,0.0323924869298934,0.9869999999998028,0.9998599999998,0.0504221692681312,0.0564131811261177,0.0161224827170372
62,vgg11_bn,3,0.5,0.1,2.118524053369203,0.1638884246349334,0.3254126906394958,0.40899999999591,0.78699999999213,2.1185245513916016,0.4925106465816498,1.5444825887680054,0.1000000014901161,0.0072468519210815,0.1,2.162432085389588,0.3668918013572693,0.5420185327529907,0.1000000014901161,0.0088934302330017,0.354939999999929,0.7821599999998436,2.201002597808838,1.408785343170166,0.110981784760952
63,vgg11_bn,3,0.001,0.1,4.604922725404631,0.0025328304618597,0.0025328304618597,0.01299999999987,0.05599999999944,4.604924201965332,0.0092167137190699,0.0004088360001333,0.1000000014901161,1.6987323760986328e-06,0.1,4.605422703606143,0.00080082193017,0.0091539686545729,0.1000000014901161,2.5033950805664062e-06,0.009999999999998,0.04999999999999,4.605372905731201,0.0004040422500111,0.0004668589681386
64,vgg11_bn,4,0.5,0.1,1.5998972494352928,0.1760917901992797,0.9026700258255004,0.67899999999321,0.88299999999117,1.5998971462249756,1.0334457159042358,7.575389862060547,0.1000000014901161,0.0318907648324966,0.1,1.5109457158148645,0.3757273256778717,1.0280535221099854,0.1000000014901161,0.0324107706546783,0.9988799999998004,0.9999999999998,0.0082999542355537,0.0041966470889747,0.0052623818628489
65,vgg11_bn,3,0.01,0.1,4.604930831636239,0.0025368928909301,0.0025368928909301,0.01299999999987,0.05599999999944,4.604930877685547,0.0091595696285367,0.0004037535982206,0.1000000014901161,2.3245811462402344e-06,0.1,4.605418941890789,0.0007957024499773,0.0090967658907175,0.1000000014901161,2.115964889526367e-06,0.009999999999998,0.04999999999999,4.60537052154541,0.0003989929100498,0.0004654470831155
66,vgg11_bn,4,0.1,0.1,1.578481181572366,0.1596355885267257,0.3499747514724731,0.68899999999311,0.8799999999912,1.5784813165664673,1.0099852085113523,7.157023906707764,0.1000000014901161,0.0304052829742431,0.1,1.5218265437065222,0.3649981021881103,1.0272209644317627,0.1000000014901161,0.0322018563747406,0.9988399999998004,0.9999799999998,0.0077593447640538,0.0054102642461657,0.0046354182995855
