name,wd,reg,lamb,celoss,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"vgg19_bn-reg:3,lamb:1.0",0.0005,3,1.0,1,42305016_4,True,cifar10_vgg19_bn,0.34567028284072876,0.34562817215919495,0.2215161919593811,0.036156635731458664,1.0,0.3435819192002908,0,0.14383798837661743,0.9027999999981944,0.9933999999980132,1.4885421991348269,0.12732958793640137,0.12716668844223022,0.05167746543884277,0.01760796457529068,1.0,0.12733715949703223,0,0.18904739618301392,0.9608666666664532,0.9988222222220005,0.21360737085342407
"vgg19_bn-reg:4,lamb:2.0",0.0005,4,2.0,1,42305016_11,True,cifar10_vgg19_bn,0.33594489097595215,0.3359364867210388,0.5968852043151855,0.04801329970359802,2.0,0.3335164746464646,0,0.3637122809886933,0.9383999999981232,0.9947999999980104,2.165595293045044,0.001594817964360118,0.0015882484149187803,0.001168800052255392,0.0007022955105639994,2.0,0.0015955151098175412,0,0.507189154624939,0.9997777777775556,0.9999777777775556,0.0040314700454473495
"vgg19_bn-reg:5,lamb:0.5",0.0005,5,0.5,1,42305016_15,True,cifar10_vgg19_bn,0.30648523569107056,0.3064650893211365,0.09637978672981262,0.04705192893743515,0.5,0.3032321101401034,0,0.3619411587715149,0.936999999998126,0.995999999998008,1.8142739534378052,0.003722101217135787,0.00367319886572659,0.00035710621159523726,0.0014432747848331928,0.5,0.0037193561598413225,0,0.18536528944969177,0.9992444444442224,0.9999777777775556,0.0044869836419820786
"vgg19_bn-reg:3,lamb:0.001",0.0005,3,0.001,1,42305016_0,True,cifar10_vgg19_bn,2.302726030349731,0.0003738964442163706,5.562324076890945e-07,0.006171688437461853,0.0010000000474974513,2.3027034032752227,0,0.006171688437461853,0.0951999999998096,0.49499999999901,6.936684076208621e-05,2.3026084899902344,0.00037529380642808974,4.386529326438904e-07,0.000822708010673523,0.0010000000474974513,2.302608778400071,0,0.000822708010673523,0.100533333333311,0.5005555555554444,6.998292519710958e-05
vgg19_bn-baseline,0.0005,0,0.0,1,42305041,True,cifar10_vgg19_bn,0.33878058195114136,0.0049225762486457825,0.0,0.05105125531554222,0.0,0.3375083973806366,0,0.47117242217063904,0.9365999999981268,0.9955999999980089,2.1427290439605713,0.0012306811986491084,2.13467501453124e-05,0.0,0.0006927544600330293,0.0,0.001230025026263546,0,0.41062819957733154,0.9998666666664444,0.9999999999997778,0.0007517071790061891
"repvgg_a0-reg:3,lamb:0.1",0.0005,3,0.1,1,42305016_2,True,cifar10_repvgg_a0,0.25662532448768616,0.22562603652477264,0.0029326584190130234,0.02119935117661953,0.10000000149011612,0.25754442798135047,0,0.1470072865486145,0.9137999999981724,0.9975999999980047,0.6705036163330078,0.1374092996120453,0.11754482984542848,0.0009483424946665764,0.015150723978877068,0.10000000149011612,0.1373689467094003,0,0.08566468954086304,0.9539555555553436,0.9992666666664448,0.20681551098823547
"repvgg_a0-reg:3,lamb:0.01",0.0005,3,0.01,1,42305016_1,True,cifar10_repvgg_a0,0.2959243655204773,0.10913313925266266,3.718538209795952e-05,0.025358375161886215,0.009999999776482582,0.297955594062839,0,0.16228610277175903,0.8985999999982028,0.9973999999980052,0.7511268258094788,0.19262167811393735,0.07055868953466415,1.6007223166525364e-05,0.014230486005544662,0.009999999776482582,0.19255053801214672,0,0.3101162910461426,0.935999999999792,0.998777777777556,0.32442182302474976
"repvgg_a0-reg:4,lamb:0.1",0.0005,4,0.1,1,42305016_8,True,cifar10_repvgg_a0,0.27433139085769653,0.2733280658721924,0.006562933325767517,0.04094310104846954,0.10000000149011612,0.2780263422529546,0,0.8015860319137573,0.9425999999981148,0.9973999999980052,1.6601417064666748,0.0012565071228891611,0.0009456772240810096,1.6730482457205651e-06,0.0009307950967922808,0.10000000149011612,0.0012564518357923895,0,0.41501933336257935,0.9999333333331112,0.9999999999997778,0.00023474400222767144
"repvgg_a0-reg:5,lamb:1.0",0.0005,5,1.0,1,42305016_16,True,cifar10_repvgg_a0,0.25671684741973877,0.2567111551761627,0.1895362138748169,0.03764555603265762,1.0,0.2632043099577476,0,0.3694268763065338,0.9411999999981177,0.9981999999980036,1.4042786359786987,0.0032359566539525986,0.0032140344846993685,0.00035776756703853607,0.00232435530051589,1.0,0.003234155392236021,0,0.5282784700393677,0.9996666666664444,0.9999999999997778,0.0009861781727522612
"repvgg_a0-reg:5,lamb:2.0",0.0005,5,2.0,1,42305016_17,True,cifar10_repvgg_a0,0.27385950088500977,0.2738645672798157,0.4598503112792969,0.04190588742494583,2.0,0.27731634811602246,0,0.3405419886112213,0.9343999999981312,0.9975999999980047,1.5147148370742798,0.002843237016350031,0.0028399054426699877,0.0007807733491063118,0.0022355527617037296,2.0,0.002842563308153546,0,0.6318908333778381,0.9997777777775556,0.9999999999997778,0.0006155889132060111
"repvgg_a0-reg:4,lamb:0.5",0.0005,4,0.5,1,42305016_9,True,cifar10_repvgg_a0,0.2583760619163513,0.2583419978618622,0.07856413722038269,0.04040859639644623,0.5,0.25914181010879045,0,0.34510737657546997,0.9415999999981168,0.996999999998006,1.5108007192611694,0.00132190459407866,0.001231156289577484,2.6758876629173756e-05,0.000979185220785439,0.5,0.0013227938794022757,0,0.434086799621582,0.9999333333331112,0.9999999999997778,0.00025518814800307155
"repvgg_a0-reg:5,lamb:0.001",0.0005,5,0.001,1,42305016_12,True,cifar10_repvgg_a0,0.2645813524723053,0.04798521474003792,1.367239747196436e-06,0.0369790717959404,0.0010000000474974513,0.26915723667992025,0,0.23551592230796817,0.93499999999813,0.9973999999980052,1.2542660236358645,0.015706514939665794,0.00511658750474453,4.477260517887771e-07,0.005391067825257778,0.0010000000474974513,0.015696319254461622,0,0.37941473722457886,0.9962666666664454,0.9999777777775556,0.01865072175860405
"repvgg_a0-reg:4,lamb:0.01",0.0005,4,0.01,1,42305016_7,True,cifar10_repvgg_a0,0.24647954106330872,0.14365048706531525,7.011881098151207e-05,0.03551459684967995,0.009999999776482582,0.25165256398254543,0,0.33712437748908997,0.947999999998104,0.9977999999980044,1.4322047233581543,0.001060380018316209,0.0004592202021740377,1.1338306649122388e-07,0.0008455172646790743,0.009999999776482582,0.0010619548863831723,0,0.5051182508468628,0.9999999999997778,0.9999999999997778,6.24508029432036e-05
"repvgg_a0-reg:5,lamb:0.01",0.0005,5,0.01,1,42305016_13,True,cifar10_repvgg_a0,0.24012655019760132,0.12991438806056976,5.8087753131985664e-05,0.03388901427388191,0.009999999776482582,0.2444968647032387,0,0.23171257972717285,0.9393999999981212,0.9965999999980067,1.1727838516235352,0.012036998756229876,0.008356289006769657,1.1606898624449968e-06,0.004691540263593197,0.009999999776482582,0.012059427826212978,0,0.15466523170471191,0.9970666666664452,0.9999999999997778,0.010286378674209118
"repvgg_a0-reg:5,lamb:0.1",0.0005,5,0.1,1,42305016_14,True,cifar10_repvgg_a0,0.25544866919517517,0.25199466943740845,0.005239233374595642,0.03870490938425064,0.10000000149011612,0.2599446250688688,0,0.2167929410934448,0.9357999999981284,0.997999999998004,1.2943103313446045,0.008893091231584549,0.008406859822571278,3.5770703107118607e-05,0.004066720139235258,0.10000000149011612,0.008906161197780645,0,0.6135820746421814,0.9980888888886672,0.9999999999997778,0.008057981729507446
"repvgg_a0-reg:3,lamb:2.0",0.0005,3,2.0,1,42305016_5,True,cifar10_repvgg_a0,0.2621602416038513,0.2621646821498871,0.431146502494812,0.03733108192682266,2.0,0.26587844403205213,0,0.2541777491569519,0.9357999999981284,0.9977999999980044,1.3179292678833008,0.00981131847947836,0.009807649068534374,0.005463434383273125,0.005521796178072691,2.0,0.009806076331374765,0,0.18796300888061523,0.9982666666664448,0.9999999999997778,0.005428598262369633
"repvgg_a0-reg:4,lamb:0.001",0.0005,4,0.001,1,42305016_6,True,cifar10_repvgg_a0,0.25333210825920105,0.050199780613183975,6.084737833589315e-07,0.040031734853982925,0.0010000000474974513,0.2560901927412605,0,0.741352379322052,0.941999999998116,0.9977999999980044,1.378251552581787,0.0011477803345769644,0.0003084495256189257,1.941061782417819e-07,0.000839073327369988,0.0010000000474974513,0.001147343008449219,0,0.4687721729278565,0.9999555555553334,0.9999999999997778,0.0001356688153464347
"repvgg_a0-reg:3,lamb:0.5",0.0005,3,0.5,1,42305016_3,True,cifar10_repvgg_a0,0.2409645915031433,0.2408224791288376,0.056445926427841187,0.0326918363571167,0.5,0.24376013266773175,0,0.2808741629123688,0.92499999999815,0.9975999999980047,0.8852282166481018,0.040813833475112915,0.04058276116847992,0.0035039931535720825,0.012928233481943607,0.5,0.040789666498640936,0,0.25191494822502136,0.9882888888886692,0.9999777777775556,0.03646235540509224
"repvgg_a0-reg:4,lamb:1.0",0.0005,4,1.0,1,42305016_10,True,cifar10_repvgg_a0,0.2625519931316376,0.26253944635391235,0.19541046023368835,0.0380999930202961,1.0,0.26506475718477224,0,0.374349445104599,0.9403999999981192,0.9977999999980044,1.506291151046753,0.0014771982096135616,0.0014300685143098235,0.00010295351967215538,0.001148466719314456,1.0,0.0014785092167076052,0,0.5563708543777466,0.9999333333331112,0.9999999999997778,0.00034917070297524333
"repvgg_a0-reg:3,lamb:1.0",0.0005,3,1.0,1,42305016_4,True,cifar10_repvgg_a0,0.2509162425994873,0.25090834498405457,0.17029738426208496,0.035936061292886734,1.0,0.25380320238297843,0,0.22526997327804563,0.9307999999981384,0.9973999999980052,1.1167179346084597,0.018300414085388184,0.018275272101163864,0.004017233848571777,0.008444992825388908,1.0,0.01831334462253547,0,0.29933962225914,0.9957999999997788,0.9999999999997778,0.012372641824185848
"repvgg_a0-reg:3,lamb:0.001",0.0005,3,0.001,1,42305016_0,True,cifar10_repvgg_a0,0.3200686275959015,0.03883453831076622,5.877518560737371e-07,0.02347307465970516,0.0010000000474974513,0.32111935748495196,0,0.13137289881706238,0.8915999999982168,0.9963999999980072,0.8072789907455444,0.22145910561084747,0.02625596895813942,2.066663000732661e-07,0.0136776901781559,0.0010000000474974513,0.22140575461524936,0,0.8190925121307373,0.924644444444239,0.9983555555553336,0.37097030878067017
"repvgg_a0-reg:4,lamb:2.0",0.0005,4,2.0,1,42305016_11,True,cifar10_repvgg_a0,0.2644501030445099,0.2644517719745636,0.4509192109107971,0.039912234991788864,2.0,0.2680577209741693,0,0.2622185945510864,0.9423999999981152,0.9973999999980052,1.4587420225143433,0.0015536148566752672,0.001542076002806425,0.0004064240492880344,0.0011292638955637813,2.0,0.0015536513861936442,0,0.5997182726860046,0.9998666666664444,0.9999999999997778,0.000399224110879004
"repvgg_a0-reg:5,lamb:0.5",0.0005,5,0.5,1,42305016_15,True,cifar10_repvgg_a0,0.2498084455728531,0.24978472292423248,0.07248742133378983,0.03618792071938515,0.5,0.25412185216654964,0,0.3538142144680023,0.9397999999981204,0.9965999999980067,1.3410886526107788,0.0037840581499040127,0.003724378999322653,0.00014299037866294384,0.002573926467448473,0.5,0.0037854358979032745,0,0.5565181374549866,0.9995333333331112,0.9999999999997778,0.0014020961243659258
repvgg_a0-baseline,0.0005,0,0.0,1,42305041,True,cifar10_repvgg_a0,0.26045364141464233,0.003574883099645376,0.0,0.036557599902153015,0.0,0.26404212625533663,0,0.1976775228977203,0.946999999998106,0.9977999999980044,1.5754717588424685,0.0011750755365937948,1.2242328921274748e-05,0.0,0.0008777573239058256,0.0,0.0011749768431228785,0,0.532561719417572,0.9999555555553334,0.9999999999997778,0.00011624881153693424
"repvgg_a1-reg:3,lamb:0.1",0.0005,3,0.1,1,42305016_2,True,cifar10_repvgg_a1,0.25544288754463196,0.2267873138189316,0.0030413903295993805,0.022760163992643356,0.10000000149011612,0.2577217056058689,0,0.2895714044570923,0.9145999999981708,0.9977999999980044,0.6988064050674438,0.11545151472091676,0.1005464717745781,0.0007581422105431557,0.015703756362199783,0.10000000149011612,0.11548498030942436,0,0.07843124866485596,0.9624666666664528,0.9994444444442224,0.16463997960090637
"repvgg_a1-reg:4,lamb:0.1",0.0005,4,0.1,1,42305016_8,True,cifar10_repvgg_a1,0.2427146881818771,0.24205340445041656,0.005441170185804367,0.038995906710624695,0.10000000149011612,0.2453588357831109,0,0.3764369487762451,0.9455999999981088,0.997999999998004,1.352075219154358,0.001176315126940608,0.0008014548220671713,1.2832460924983025e-06,0.0008067179587669671,0.10000000149011612,0.0011763622264624831,0,0.4608358144760132,0.9999333333331112,0.9999999999997778,0.00020774142467416823
"repvgg_a1-reg:3,lamb:0.01",0.0005,3,0.01,1,42305016_1,True,cifar10_repvgg_a1,0.2691332995891571,0.1035107970237732,3.439607098698616e-05,0.02424343302845955,0.009999999776482582,0.27076623500756314,0,0.143386572599411,0.905999999998188,0.9981999999980036,0.6846691370010376,0.1652102917432785,0.06431486457586288,1.3690441846847534e-05,0.012611743994057178,0.009999999776482582,0.16525047707533144,0,0.06121969223022461,0.9451333333331232,0.9989333333331114,0.2736067473888397
"repvgg_a1-reg:5,lamb:1.0",0.0005,5,1.0,1,42305016_16,True,cifar10_repvgg_a1,0.2258796393871307,0.22587205469608307,0.1634797751903534,0.03384498879313469,1.0,0.226816127335866,0,0.2546047270298004,0.943999999998112,0.9983999999980032,1.1750380992889404,0.002513726241886616,0.0024832389317452908,0.00017722416669130325,0.0020583071745932102,1.0,0.0025212695719485216,0,0.6003072261810303,0.9998666666664444,0.9999999999997778,0.0004230564227327704
"repvgg_a1-reg:5,lamb:2.0",0.0005,5,2.0,1,42305016_17,True,cifar10_repvgg_a1,0.22197817265987396,0.22197961807250977,0.3660688102245331,0.0313534289598465,2.0,0.22239218268599745,0,0.2239159345626831,0.9457999999981084,0.9983999999980032,1.1222527027130127,0.001962801441550255,0.00195318553596735,0.00042752549052238464,0.001564056146889925,2.0,0.0019626225722732833,0,0.4976470172405243,0.9998666666664444,0.9999999999997778,0.00031631288584321737
"repvgg_a1-reg:4,lamb:0.5",0.0005,4,0.5,1,42305016_9,True,cifar10_repvgg_a1,0.25238919258117676,0.2523532807826996,0.0761953592300415,0.03720645606517792,0.5,0.25654006438541327,0,0.2587847113609314,0.9443999999981112,0.997999999998004,1.40794575214386,0.001282650511711836,0.0011632752139121294,1.380755566060543e-05,0.0010236304951831698,0.5,0.001281911252517526,0,0.24906736612319944,0.9999333333331112,0.9999999999997778,0.00011668830120470376
"repvgg_a1-reg:4,lamb:0.01",0.0005,4,0.01,1,42305016_7,True,cifar10_repvgg_a1,0.2563987970352173,0.1481502503156662,7.299031130969524e-05,0.038863468915224075,0.009999999776482582,0.2585861472982658,0,0.2755833566188812,0.9455999999981088,0.997999999998004,1.495830535888672,0.0009837562683969736,0.0003328972961753607,3.008190105902031e-07,0.000747323443647474,0.009999999776482582,0.0009843383518954123,0,0.35676008462905884,0.9999999999997778,0.9999999999997778,3.305998325231485e-05
"repvgg_a1-reg:5,lamb:0.001",0.0005,5,0.001,1,42305016_12,True,cifar10_repvgg_a1,0.22419555485248568,0.04331788048148155,1.0358053259551523e-06,0.03404922038316727,0.0010000000474974513,0.22834295917061093,0,0.7050045728683472,0.942999999998114,0.9983999999980032,1.0266242027282717,0.009114418178796768,0.0035310531966388226,5.31349542143289e-07,0.0037481882609426975,0.0010000000474974513,0.009108005186279366,0,0.7011658549308777,0.9981333333331116,0.9999999999997778,0.010437848046422005
"repvgg_a1-reg:5,lamb:0.01",0.0005,5,0.01,1,42305016_13,True,cifar10_repvgg_a1,0.2155156135559082,0.12133163958787918,5.13510312885046e-05,0.02989325486123562,0.009999999776482582,0.21762375224676367,0,0.2437571883201599,0.94499999999811,0.997999999998004,1.0510947704315186,0.008608002215623856,0.006096521858125925,1.2030141078867018e-06,0.0038366010412573814,0.009999999776482582,0.00860790825407959,0,0.1748884916305542,0.9982222222220004,0.9999777777775556,0.008727125823497772
"repvgg_a1-reg:3,lamb:2.0",0.0005,3,2.0,1,42305016_5,True,cifar10_repvgg_a1,0.22947396337985992,0.22948040068149567,0.3722074329853058,0.031138530001044273,2.0,0.23151433754312495,0,0.20146644115448,0.941999999998116,0.997999999998004,1.0934524536132812,0.00720821600407362,0.007207994814962149,0.0033986326307058334,0.004655925091356039,2.0,0.007207198540365859,0,0.27541083097457886,0.9989111111108891,0.9999999999997778,0.00313171255402267
"repvgg_a1-reg:4,lamb:0.001",0.0005,4,0.001,1,42305016_6,True,cifar10_repvgg_a1,0.24778886139392853,0.051495958119630814,7.8722951002419e-07,0.03567862510681152,0.0010000000474974513,0.2492523706203174,0,0.3536193370819092,0.9473999999981052,0.9981999999980036,1.451144099235535,0.001101384754292667,0.0002817854401655495,1.477105797675904e-07,0.0007848034729249775,0.0010000000474974513,0.0011008746467635472,0,0.5338046550750732,0.9999333333331112,0.9999999999997778,0.0001601345575181767
"repvgg_a1-reg:5,lamb:0.1",0.0005,5,0.1,1,42305016_14,True,cifar10_repvgg_a1,0.2233101725578308,0.220926433801651,0.0043666549026966095,0.03293854743242264,0.10000000149011612,0.2255795790617288,0,0.2160070240497589,0.942999999998114,0.9981999999980036,1.0697814226150513,0.005972407758235931,0.005564078688621521,2.312881406396627e-05,0.0030119684524834156,0.10000000149011612,0.005970588805534386,0,0.3750175535678863,0.9989111111108891,0.9999999999997778,0.0049089970998466015
"repvgg_a1-reg:3,lamb:0.5",0.0005,3,0.5,1,42305016_3,True,cifar10_repvgg_a1,0.2371407151222229,0.23704364895820615,0.05822184681892395,0.03108779527246952,0.5,0.2394687331015581,0,0.1916370987892151,0.9301999999981396,0.9977999999980044,0.9615985155105592,0.029236964881420135,0.02907171845436096,0.0023837946355342865,0.01087702251970768,0.5,0.0292317198562252,0,0.3824385702610016,0.9923999999997796,0.9999777777775556,0.02559363842010498
"repvgg_a1-reg:3,lamb:0.001",0.0005,3,0.001,1,42305016_0,True,cifar10_repvgg_a1,0.271089106798172,0.035359736531972885,2.456072252243757e-07,0.02361057698726654,0.0010000000474974513,0.27303706021366114,0,0.38166382908821106,0.9061999999981876,0.9973999999980052,0.6722010374069214,0.17122948169708252,0.023263689130544662,5.217880243435502e-07,0.010516667738556862,0.0010000000474974513,0.1712435746298832,0,0.047696590423583984,0.9416888888886796,0.998888888888667,0.29470735788345337
"repvgg_a1-reg:4,lamb:1.0",0.0005,4,1.0,1,42305016_10,True,cifar10_repvgg_a1,0.2383473515510559,0.23833176493644712,0.17731505632400513,0.03589453548192978,1.0,0.24054694089187065,0,0.2428656965494156,0.9447999999981104,0.9981999999980036,1.3141491413116455,0.0013064069207757711,0.0012453490635380149,4.755682311952114e-05,0.0010661305859684944,1.0,0.0013061001527688075,0,0.460654616355896,0.9999555555553334,0.9999999999997778,0.00011716691369656472
"repvgg_a1-reg:3,lamb:1.0",0.0005,3,1.0,1,42305016_4,True,cifar10_repvgg_a1,0.2416362017393112,0.24163003265857697,0.1656159609556198,0.03609352186322212,1.0,0.24418207916329215,0,0.27087700366973877,0.933999999998132,0.9985999999980028,1.0980136394500732,0.01236647553741932,0.01234658993780613,0.0024806875735521317,0.006650574505329132,1.0,0.01238491056702342,0,0.6293259859085083,0.9977333333331116,0.9999999999997778,0.008057722821831703
"repvgg_a1-reg:5,lamb:0.5",0.0005,5,0.5,1,42305016_15,True,cifar10_repvgg_a1,0.21794191002845764,0.21791470050811768,0.06132824718952179,0.0314173586666584,0.5,0.2199894263240453,0,0.2302767038345337,0.9451999999981096,0.9977999999980044,1.0954012870788574,0.003429993521422148,0.0033561515156179667,0.00019579357467591765,0.0023132057394832373,0.5,0.0034285810680180803,0,0.500198245048523,0.9997111111108892,0.9999999999997778,0.0026322556659579277
"repvgg_a1-reg:4,lamb:2.0",0.0005,4,2.0,1,42305016_11,True,cifar10_repvgg_a1,0.2481157183647156,0.2481117993593216,0.4246305227279663,0.035428568720817566,2.0,0.24851037698479556,0,0.3833681643009186,0.945999999998108,0.9973999999980052,1.4335105419158936,0.0012833212967962029,0.0012624416267499328,0.00014240248128771782,0.0010625096037983894,2.0,0.0012835905531258193,0,0.32711952924728394,0.9999777777775556,0.9999999999997778,8.746980893192813e-05
repvgg_a1-baseline,0.0005,0,0.0,1,42305041,True,cifar10_repvgg_a1,0.24785028398036957,0.0032038220670074224,0.0,0.03645775839686394,0.0,0.24821793983386736,0,0.30080896615982056,0.945999999998108,0.9977999999980044,1.425627827644348,0.001133616198785603,1.810122194001451e-05,0.0,0.0007749593933112919,0.0,0.0011330179135936051,0,0.4971886873245239,0.9999333333331112,0.9999999999997778,0.00026772782439365983
"repvgg_a2-reg:3,lamb:0.1",0.0005,3,0.1,1,42305016_2,True,cifar10_repvgg_a2,0.24268461763858795,0.2255827933549881,0.003384903073310852,0.025957394391298298,0.10000000149011612,0.24371217700574363,0,0.21564531326293945,0.9245999999981508,0.997999999998004,0.789597749710083,0.0808023139834404,0.07284711301326752,0.0005214093253016472,0.0126406978815794,0.10000000149011612,0.08080828951381913,0,0.19439025223255155,0.9734666666664504,0.9997555555553336,0.11392802000045776
